"surface","prov","n"
"WINLAW","BC",1059
"BALTIMORE","ON",1058
"SMOKY RIVER NO. 130","AB",1058
"TEHKUMMAH","ON",1058
"WAVERLEY","NS",1056
"BOWSER","BC",1055
"HILLSBURGH","ON",1055
"TRES-SAINT-SACREMENT","QC",1054
"MAXVILLE","ON",1053
"FORTIERVILLE","QC",1053
"CANTON-DE-HATLEY","QC",1052
"CREEMORE","ON",1050
"POINTE-AUX-ROCHES","ON",1048
"THORNTON","ON",1047
"SAINT-ZEPHIRIN-DE-COURVAL","QC",1047
"TAHSIS","BC",1047
"SAINT-LUC-DE-BELLECHASSE","QC",1047
"SAINT-MARC-DU-LAC-LONG","QC",1044
"SAINT-AIME-DU-LAC-DES-ILES","QC",1044
"PORTLAND","ON",1044
"LAC-SAINT-JOSEPH","QC",1044
"SPANISH","ON",1042
"TRITON","NL",1039
"LASHBURN","SK",1038
"SAINT-EDMOND-DE-GRANTHAM","QC",1037
"HERITAGE POINTE","AB",1033
"SPRING LAKE","AB",1032
"COOKS CREEK","MB",1031
"LA VISITATION-DE-L'ILE-DUPAS","QC",1030
"CARMANVILLE","NL",1030
"BLOCKHOUSE","NS",1028
"SOUTHEY","SK",1028
"PAPINEAU-CAMERON","ON",1028
"WENDOVER","ON",1026
"SABREVOIS","QC",1026
"150 MILE HOUSE","BC",1025
"SAINT-MARCELLIN","QC",1025
"SUMMERFORD","NL",1024
"ERINSVILLE","ON",1023
"NOTRE-DAME-DE-STANBRIDGE","QC",1020
"LAC-DES-AIGLES","QC",1020
"NARAMATA","BC",1018
"LONGUE-POINTE-DE-MINGAN","QC",1018
"ALBAN","ON",1016
"KALEDEN","BC",1014
"DAYSLAND","AB",1012
"ST-NAZAIRE-DU-LAC-ST-JEAN","QC",1010
"DENARE BEACH","SK",1010
"PETIT-ROCHER","NB",1009
"SALLUIT","QC",1008
"EASTEND","SK",1006
"BIGHORN NO. 8","AB",1006
"MABERLY","ON",1005
"MACHIN","ON",1004
"NEW LOWELL","ON",1004
"ARCADIA","NS",1004
"BLACKSTOCK","ON",1004
"BARSS CORNER","NS",1003
"FREDERICTON JUNCTION","NB",1002
"SAINTE-GERTRUDE-MANNEVILLE","QC",1002
"OPASKWAYAK CREE NATION 21E","MB",1002
"ROXTON","QC",1002
"BIFROST-RIVERTON","MB",1000
"PABOS","QC",999
"KANESATAKE LANDS","QC",998
"KILWORTHY","ON",998
"NEW HAZELTON","BC",997
"LAC-DELAGE","QC",996
"STOUGHTON","SK",996
"CHESLEY","ON",996
"HENSALL","ON",995
"CORMACK","NL",994
"DIVISION NO.  8, SUBD. L","NL",994
"PIOPOLIS","QC",993
"70 MILE HOUSE","BC",991
"SAINT-ADALBERT","QC",990
"CHRISTIAN ISLAND 30","ON",990
"SAINT-ROCH-DE-MEKINAC","QC",989
"HERRING COVE","NS",989
"CLARK'S HARBOUR","NS",988
"CURVE LAKE FIRST NATION 35","ON",988
"OBEDJIWAN 28","QC",982
"CRYSTAL BEACH","ON",981
"SACRE-COEUR-SAGUENAY","QC",981
"DSL DE DRUMMOND","NB",980
"BARNWELL","AB",979
"DRAYTON","ON",979
"SAINT-NEREE-DE-BELLECHASSE","QC",978
"ROCKY HARBOUR","NL",978
"SAINT-SIMON-DE-RIMOUSKI","QC",978
"POINTE-DU-CHENE","NB",976
"BORDEN","PE",974
"CALABOGIE","ON",973
"DENMAN ISLAND","BC",973
"JORDAN STATION","ON",973
"SAINT-ALEXIS-DE-MATAPEDIA","QC",973
"ARCOLA","SK",973
"NAROL","MB",972
"SCHEFFERVILLE","QC",971
"CLYDE RIVER","PE",971
"SCOTCH CREEK","BC",969
"SAINT-VALERIEN","QC",968
"QU'APPELLE","SK",967
"AUDET","QC",966
"SOURIS","MB",966
"SANDY BEACH","AB",966
"BUCHANS","NL",966
"RAYMOND","AB",966
"SAINT-ANDRE","NB",965
"CAP-AUX-MEULES","QC",964
"NORTH OKANAGAN E","BC",964
"FREELTON","ON",963
"LAWRENCEVILLE","QC",960
"DOMINION","NS",960
"BADGER","NL",960
"CLARENCE CREEK","ON",958
"CLEAR HILLS","AB",958
"WESTEROSE","AB",958
"FASSETT","QC",958
"GESGAPEGIAG","QC",957
"HUBLEY","NS",956
"CLARKE'S BEACH","NL",954
"GRAVELBOURG","SK",954
"EAST FARNHAM","QC",954
"PRINCE","ON",954
"PESSAMIT","QC",953
"RYCROFT","AB",953
"COPPER CLIFF","ON",953
"DIXVILLE","QC",951
"NORFOLK-TREHERNE","MB",950
"PLUMMER ADDITIONAL","ON",950
"CHRISTINA LAKE","BC",948
"PRAIRIE LAKES","MB",948
"ESCUMINAC","QC",947
"WILLOW BEACH","ON",947
"L'ILE-DU-GRAND-CALUMET","QC",946
"SAINT-EUSEBE","QC",946
"SAINT-JUSTE-DU-LAC","QC",945
"BIENCOURT","QC",945
"SCOTSTOWN","QC",945
"LUSELAND","SK",944
"BROADVIEW","SK",944
"MONTCALM","MB",944
"PORT AU CHOIX","NL",943
"HAZELTON","BC",943
"ST ADOLPHE","MB",942
"STANLEY BRIDGE, HOPE RIVER, BAYVIEW, CAVENDISH AND NORTH RUSTICO","PE",942
"BURTON","NB",942
"PERTH-ANDOVER","NB",940
"BRYSON","QC",940
"MCGREGOR","ON",940
"STRATHCONA B","BC",940
"EMPRESS","AB",939
"GOLDEN LAKE","ON",939
"SAINTE-PRAXEDE","QC",938
"MERLIN","ON",937
"SUNNYSIDE","MB",937
"OTONABEE","ON",937
"CONSECON","ON",937
"GORHAM","ON",936
"SAINT-BRUNO-DE-KAMOURASKA","QC",936
"ST JACOBS","ON",936
"CARLISLE","ON",935
"VICTORIA","NL",934
"ST. LAWRENCE","NL",932
"SHERRINGTON","QC",928
"LOWBANKS","ON",928
"CRAPAUD","PE",927
"POINT LEAMINGTON","NL",926
"TOBIQUE 20","NB",926
"WARNER COUNTY NO. 5","AB",926
"QUYON","QC",926
"MOOREFIELD","ON",926
"ALTON","ON",925
"PAISLEY","ON",925
"WALLACE-WOODWORTH","MB",924
"BULKLEY-NECHAKO G","BC",924
"BIENFAIT","SK",924
"STORNOWAY","QC",923
"HOPE","QC",923
"WHITE RIVER","ON",922
"SAINTE-ANNE-DE-LA-ROCHELLE","QC",921
"POINTE-FORTUNE","QC",921
"VARS","ON",920
"SAINTE-CLOTILDE-DE-BEAUCE","QC",920
"GARDEN RIVER 14","ON",920
"HILTON BEACH","ON",920
"SAINT-ADELME","QC",919
"SAINT-IGNACE-DE-STANBRIDGE","QC",918
"GILMOUR","ON",917
"MILLBROOK 27","NS",916
"AILSA CRAIG","ON",915
"KINBURN","ON",915
"RUSSELL","MB",915
"POULARIES","QC",913
"MARWAYNE","AB",912
"CLERVAL","QC",912
"TOWN OF PLYMPTON WYOMING","ON",912
"NISGA'A","BC",912
"MILTON","NS",909
"JANETVILLE","ON",909
"ROLAND","MB",908
"SHILO","MB",908
"PAKENHAM","ON",908
"LUCASVILLE","NS",907
"SAINT-LAURENT-ILE-D'ORLEANS","QC",907
"KLEEFELD","MB",906
"CHETICAMP","NS",906
"SWAN VALLEY WEST","MB",904
"BROOKSIDE","NS",904
"DEVON 30","NB",904
"PASS LAKE","ON",904
"TURNER VALLEY","AB",902
"STRATHCONA A","BC",902
"ARNOLD'S COVE","NL",900
"CULTUS LAKE","BC",899
"KINISTINO","SK",899
"SAINT-BERNARD-DE-MICHAUDVILLE","QC",897
"SAINT-ADRIEN","QC",897
"LECLERCVILLE","QC",897
"CORBYVILLE","ON",897
"ST. ALBAN'S","NL",896
"TRINITY BAY NORTH","NL",896
"INNERKIP","ON",896
"RODNEY","ON",895
"SAINT-PIERRE-ILE-D'ORLEANS","QC",895
"SCOTLAND","ON",894
"SAINTE-MARIE-DE-BLANDFORD","QC",894
"SAINT-REMI-DE-TINGWICK","QC",894
"SAYWARD","BC",893
"OXFORD MILLS","ON",893
"LOCKPORT","MB",891
"MATLOCK","MB",891
"KINGSTON","NB",891
"GALLICHAN","QC",891
"SAINT-LUC-DE-VINCENNES","QC",890
"ST DAVIDS","ON",889
"BELWOOD","ON",889
"BRUNO","SK",889
"BELCARRA","BC",888
"WAWOTA","SK",887
"WILLIAMSTOWN","ON",886
"PRINCETON","ON",886
"BLOOMFIELD","ON",885
"CLIFFORD","ON",885
"GRANISLE","BC",884
"MASSUEVILLE","QC",884
"DWIGHT","ON",884
"FOXBORO","ON",883
"CONISTON","ON",883
"DUBREUILVILLE","ON",883
"DESCHAMBAULT","QC",882
"REIDVILLE","NL",881
"BALCARRES","SK",881
"MERIGOMISH","NS",881
"LINDELL BEACH","BC",880
"GORDON/BARRIE ISLAND","ON",880
"EASTPORT","NL",879
"MURILLO","ON",878
"SAINT-ANTOINE","NB",878
"LAMPMAN","SK",877
"EMBREE","NL",877
"SPECIAL AREA NO. 2","AB",876
"LYNN LAKE","MB",876
"MOUNTAIN","ON",874
"MCCREARY","MB",874
"MOUNT WADDINGTON C","BC",872
"ALERT BAY","BC",871
"MILESTONE","SK",871
"BLUMENORT","MB",869
"AUCLAIR","QC",869
"MOSSEY RIVER","MB",868
"CORONACH","SK",867
"PORT-DANIEL","QC",867
"OUJE-BOUGOUMOU","QC",867
"SOUTHEAST / SUD-EST","NB",866
"CAMBRIDGE","NS",866
"LAKEVILLE-WESTMORLAND","NB",866
"STILLWATER LAKE","NS",865
"NEWBURY","ON",865
"FANNY BAY","BC",865
"IRISHTOWN","NB",864
"SAINTE-FAMILLE-DE-L'ILE-D'ORLEANS","QC",864
"STURGIS","SK",864
"SAINTE-SOPHIE-D'HALIFAX","QC",863
"BRETON","AB",862
"SAINTS-MARTYRS-CANADIENS","QC",862
"FAIRVIEW NO. 136","AB",862
"WHITE LAKE","ON",861
"ST CHARLES","ON",860
"SPANIARDS BAY","NL",859
"BRAESIDE","ON",859
"PAINTEARTH COUNTY NO. 18","AB",858
"LIMERICK","ON",856
"SAINT-PIERRE-DE-LA-RIVIERE-DU-SUD","QC",856
"PETTY HARBOUR-MADDOX COVE","NL",856
"LES HAUTEURS","QC",855
"LA MOTTE","QC",854
"PORT LAMBTON","ON",853
"ALLAN","SK",852
"RICHIBUCTO","NB",852
"HARTINGTON","ON",850
"ARMSTRONG","ON",850
"ST-VALERIEN","QC",850
"TRACY","NB",849
"SAINTE-ANNE-DE-MADAWASKA","NB",848
"VERNON BRIDGE","PE",847
"SAINT-MALO","QC",847
"GRUNTHAL","MB",846
"SAINTE-MARIE-DE-KENT","NB",845
"SAINT-JOSEPH-DE-LEPAGE","QC",845
"OTTERVILLE","ON",845
"JOHNSON","ON",844
"SHEET HARBOUR","NS",844
"FORT WILLIAM 52","ON",844
"SECHELT (PART)","BC",844
"MINDEMOYA","ON",844
"BERRY","QC",843
"PIKE RIVER","QC",841
"DEBERT","NS",840
"SAINT-EUGENE-DE-GUIGUES","QC",840
"BEECHVILLE","NS",840
"CUPAR","SK",839
"WILMOT","NS",839
"LYNDHURST","ON",839
"COE HILL","ON",838
"PARISVILLE","QC",838
"DIVISION NO.  5, SUBD. F","NL",838
"NORTHERN SUNRISE COUNTY","AB",837
"GROSSE-ILE","QC",836
"ROSSLYN","ON",835
"PONTYPOOL","ON",835
"ELROSE","SK",835
"HUMBER ARM SOUTH","NL",834
"OAK BLUFF","MB",833
"ST GEORGE","NB",833
"ARGYLE","MB",833
"MORPETH","ON",833
"BAILIEBORO","ON",831
"LINGWICK","QC",830
"CARBON","AB",829
"ELSIPOGTOG FIRST NATION","NB",828
"WELLANDPORT","ON",825
"MOUNT MORIAH","NL",825
"BATTERSEA","ON",825
"PORT FRANKS","ON",823
"MOUNT WADDINGTON A","BC",822
"NATASHQUAN","QC",822
"NORRIS POINT","NL",822
"LITCHFIELD","QC",822
"RIDING MOUNTAIN WEST","MB",822
"WHITEFISH","ON",821
"CROFTON","BC",820
"SLIAMMON 1","BC",820
"ALBERTON","ON",820
"GREENFIELD","NS",819
"EASTMAIN","QC",819
"WATSON","SK",818
"SAINT-ALFRED","QC",818
"GROSSES-ROCHES","QC",818
"GRASSLAND","MB",818
"WELLINGTON","NS",817
"CURRAN","ON",816
"LAWN","NL",816
"PONTEIX","SK",816
"RESERVE MINES","NS",816
"ILE DES CHENES","MB",815
"RIVIERE-ETERNITE","QC",815
"IRMA","AB",815
"FLORENCEVILLE-BRISTOL","NB",815
"DIVISION NO. 22, UNORGANIZED","MB",814
"GILLAMS","NL",813
"VILLEROY","QC",813
"ATWOOD","ON",813
"GLENBURNIE","ON",813
"SAINT-AUGUSTIN","QC",812
"ODANAK","QC",812
"CENTREVILLE-WAREHAM-TRINITY","NL",812
"NAICAM","SK",811
"WEST COVE","AB",810
"NOTRE-DAME-DU-SACRE-COEUR-D'ISSOUDUN","QC",810
"HEPBURN","SK",810
"PETERVIEW","NL",810
"HARLEY","ON",810
"COMMUNAUTE ATIKAMEKW DE MANAWAN","QC",810
"METEGHAN RIVER","NS",809
"SOURIS WEST","PE",808
"SEVERN BRIDGE","ON",808
"THEDFORD","ON",808
"RAYMORE","SK",808
"AIR RONGE","SK",807
"ROCKCLIFFE","ON",807
"SAINT-URBAIN-DE-CHARLEVOIX","QC",807
"M'CHIGEENG 22","ON",806
"CUT KNIFE","SK",805
"BALMORAL","NB",805
"HUNTER RIVER","PE",805
"SAINT-CLEMENT","QC",804
"SAINT-SIMON-LES-MINES","QC",804
"SAINT-AUGUSTIN-DE-WOBURN","QC",802
"DUNDURN","SK",802
"GILFORD","ON",802
"KEMBLE","ON",802
"RYLEY","AB",800
"FORT VERMILION","AB",800
"KARS","ON",800
"SAINT-CAMILLE","QC",800
"INGLEWOOD","ON",799
"SAINT-ANDRE-DU-LAC-SAINT-JEAN","QC",799
"BIG RIVER","SK",799
"ABERDEEN","SK",798
"LAC-DES-SEIZE-ILES","QC",795
"UTOPIA","ON",795
"CHIPPEWAS OF RAMA FIRST NATION","ON",794
"ABERCORN","QC",792
"NOTRE-DAME","NB",791
"EAST SELKIRK","MB",791
"BRIDGENORTH","ON",790
"ROSSER","MB",790
"SAINT-ROBERT-BELLARMIN","QC",789
"DELAWARE","ON",788
"ALVINSTON","ON",788
"BRUSSELS","ON",788
"RAINBOW LAKE","AB",787
"MOUNT CURRIE","BC",786
"NOTRE-DAME-DU-ROSAIRE","QC",786
"AKWESASNE","QC",785
"CARMACKS","YT",785
"SAINT-GABRIEL-LALEMANT","QC",784
"ST MALO","MB",784
"CAMPBELLTON","NL",784
"KEEWATIN","ON",783
"VERNER","ON",783
"WALTHAM","QC",782
"COCHRANE, UNORGANIZED, NORTH PART","ON",782
"BORDEN","ON",781
"MILLGROVE","ON",780
"ONEIDA 41","ON",780
"SHIELDS","SK",780
"QUEENSVILLE","ON",779
"ELLERSHOUSE","NS",778
"ROSSEAU","ON",776
"SAINT-LEONARD","NB",775
"PORT SAUNDERS","NL",775
"GRAND MARAIS","MB",775
"PORT HOWE","NS",774
"TEESWATER","ON",773
"GARNISH","NL",773
"LA VALLEE","ON",772
"ST CLEMENTS","ON",771
"NANTICOKE","ON",771
"SAINT-DENIS-DE LA BOUTEILLERIE","QC",770
"DRUMBO","ON",770
"NELSON HOUSE 170","MB",770
"MOISIE","QC",769
"FOSTER","QC",769
"PELEE","ON",766
"STANDON","QC",765
"INUKJUAK","QC",765
"FORT ALEXANDER 3","MB",764
"MINITONAS-BOWSMAN","MB",764
"CUPIDS","NL",764
"CALEDONIA","NS",763
"DESBARATS","ON",763
"NOELVILLE","ON",763
"ISLAND LAKE","AB",759
"BERWYN","AB",759
"BIRCHY BAY","NL",759
"BASSIN","QC",759
"SAINT-EUGENE-D'ARGENTENAY","QC",758
"CENTREVILLE","NS",758
"VERONA","ON",758
"BAS-CARAQUET","NB",758
"GRANDE-RIVIERE-OUEST","QC",758
"BRACKLEY","PE",758
"SAINT-MARCEL-DE-RICHELIEU","QC",757
"ST-JOSEPH-DE-MADAWASKA","NB",756
"ST ALBERT","ON",756
"GLENBORO-SOUTH CYPRESS","MB",756
"SPRINGFIELD","ON",756
"SAINT-FRANCOIS-DE-L'ILE-D'ORLEANS","QC",756
"MATHESON","ON",755
"SAINT-SIXTE","QC",755
"NOTRE-DAME-DE-HAM","QC",753
"CARMANGAY","AB",753
"PIKWAKANAGAN","ON",753
"TARA","ON",752
"KILLARNEY","ON",752
"CHIPMAN","NB",752
"LUMSDEN","NL",751
"LANDMARK","MB",750
"RUTHVEN","ON",750
"BRIGUS","NL",749
"KUUJJUARAPIK","QC",746
"ST-FRANCOIS-DE-LA-RIVIERE-DU-S","QC",745
"ASQUITH","SK",745
"CRYSLER","ON",745
"SAINT-SIMEON-DE-BONAVENTURE","QC",745
"PALMER RAPIDS","ON",745
"WILLIAMSBURG","ON",743
"CAROLINE","AB",743
"TARBUTT AND TARBUTT ADDITIONAL","ON",742
"WOLFE ISLAND","ON",741
"VAL-D'AMOUR","NB",740
"RIVIERE-VERTE","NB",740
"SAINT-JEAN-D'ORLEANS","QC",740
"SLOCAN","BC",739
"GRAND-SAINT-ESPRIT","QC",738
"SPECIAL AREA NO. 3","AB",738
"PORT BLANDFORD","NL",738
"BEACHBURG","ON",738
"CHARTIERVILLE","QC",738
"BAIE-SAINTE-ANNE","NB",737
"ST-JOACHIM-DE-MONTMORENCY","QC",737
"GRAHAMDALE","MB",736
"SAINT-VIANNEY","QC",735
"SAINTE-SERAPHINE","QC",735
"PORT HOOD","NS",735
"SAINT-LEANDRE","QC",735
"HILDEN","NS",735
"MA-ME-O BEACH","AB",735
"NORTH AUGUSTA","ON",734
"LEROY","SK",733
"SAINT-JULES","QC",731
"ALONSA","MB",730
"COLDWELL","MB",730
"BOISSEVAIN","MB",730
"SAINT-ALPHONSE","QC",730
"BEAR RIVER","NS",728
"LORETTO","ON",727
"PLEASANTVILLE","NS",726
"LAC-EDOUARD","QC",726
"ACADIAN PENINSULA / PENINSULE ACADIENNE","NB",726
"ST WILLIAMS","ON",725
"NORTH WEST RIVER","NL",725
"WAASIS","NB",724
"IRON BRIDGE","ON",722
"LA REDEMPTION","QC",722
"SHANNONVILLE","ON",721
"GRAND RAPIDS","MB",721
"COLUMBIA SHUSWAP B","BC",720
"SHEA HEIGHTS","NL",720
"SHARBOT LAKE","ON",719
"PETITCODIAC","NB",718
"ULVERTON","QC",718
"CHALK RIVER","ON",717
"DOUGLAS","NB",716
"CALIXA-LAVALLEE","QC",716
"KESWICK RIDGE","NB",715
"ROSLIN","ON",715
"RICHIBUCTO ROAD","NB",715
"ASTORVILLE","ON",714
"SOOWAHLIE 14","BC",714
"AWERES TWP","ON",713
"FLORENCE","NS",713
"COLE HARBOUR","NS",712
"SUSSEX CORNER","NB",712
"EATONIA","SK",711
"CREMONA","AB",711
"GARDEN BAY","BC",709
"VILNA","AB",709
"CHARLO","NB",709
"BALDWIN","ON",709
"PORT BURWELL","ON",709
"GODBOUT","QC",708
"LEVACK","ON",708
"KYLE","SK",707
"MABOU","NS",707
"RADISSON","SK",707
"LOT 11 AND AREA","PE",706
"ROSS RIVER","YT",705
"COOMBS","BC",704
"LA BROQUERIE WEST","MB",704
"PLATTSVILLE","ON",704
"SPRUCEDALE","ON",703
"HARE BAY","NL",702
"PETERSBURG","ON",702
"ST ISIDORE","ON",701
"RICHARDS LANDING","ON",700
"HAILEYBURY","ON",700
"COLE HARBOUR 30","NS",700
"SAINTE-RITA","QC",699
"LAMEQUE","NB",699
"YOUBOU","BC",699
"DUCK LAKE","SK",699
"SAINTE-HELENE-DE-CHESTER","QC",698
"MILAN","QC",698
"ST LAURENT","MB",698
"PHELPSTON","ON",697
"WILLIAMSWOOD","NS",696
"WARNER","AB",695
"SAINTE-FLORENCE","QC",695
"ONANOLE","MB",695
"BERTRAND","NB",694
"CARLSBAD SPRINGS","ON",694
"CLANWILLIAM-ERICKSON","MB",694
"SAINT-NOEL","QC",693
"ELIZABETHTOWN","ON",693
"NORGLENWOLD","AB",692
"BETHANY","ON",690
"FUGEREVILLE","QC",690
"ALLENFORD","ON",689
"SAINT-ODILON","QC",689
"THOMPSON-NICOLA I (BLUE SKY COUNTRY)","BC",688
"LEAF RAPIDS","MB",687
"LAKESHORE","MB",686
"VICTORIA","MB",684
"PLAINFIELD","ON",684
"BOIS-FRANC","QC",681
"REINLAND","MB",681
"SAINT-LOUIS-DU-HA-HA","QC",681
"YORK","PE",681
"CROSS LAKE 19A","MB",680
"MARTINVILLE","QC",679
"PRIEST'S VALLEY 6","BC",678
"SAINT-EDOUARD-DE-FABRE","QC",678
"KETTLE AND STONY POINT FN","ON",677
"PENNFIELD","NB",677
"HEAD OF ST MARGARETS BAY","NS",676
"FISHER","MB",676
"NORWAY HOUSE 17","MB",676
"L'ANSE AU LOUP","NL",675
"SAINT-DAMASE-DE-L'ISLET","QC",674
"CASTLETON","ON",673
"ELGIN","QC",673
"GODFREY","ON",673
"SAINTE-PAULE","QC",672
"COTE-NORD-DU-GOLFE-DU-SAINT-LAURENT","QC",672
"HANLEY","SK",672
"WALTON","NS",670
"JASPER","ON",670
"MEADOWS","NL",668
"SQUATEC","QC",667
"JOHNSTOWN","ON",667
"CENTRAL BUTTE","SK",667
"ANGLEMONT","BC",667
"ETHELBERT","MB",667
"ELMWOOD","ON",667
"ROQUEMAURE","QC",666
"SAINT-FRANCOIS-DE-MADAWASKA","NB",666
"EAGLE BAY","BC",665
"DIVISION NO.  7, SUBD. K","NL",664
"LASCIE","NL",664
"FRANQUELIN","QC",663
"LUNENBURG","ON",663
"WALLENSTEIN","ON",662
"CABRI","SK",660
"SAINT-PIE-DE-GUIRE","QC",660
"EMERALD PARK","SK",660
"SAINT-ALEXIS-DE-MONTCALM","QC",660
"ALLARDVILLE","NB",660
"ST ANDREWS WEST","ON",660
"SAINT-THARCISIUS","QC",659
"BARONS","AB",659
"CRAPAUD, PART 2","PE",658
"STANSTEAD-EST","QC",658
"PABOS MILLS","QC",657
"ST ANNS","ON",656
"BOTHWELL","ON",655
"PENSE","SK",655
"SAINT-AIME","QC",655
"CREDITON","ON",655
"HILLSDALE","ON",655
"VAL THERESE","ON",654
"NAPAN","NB",654
"MAYNOOTH","ON",653
"LUND","BC",653
"MONTMARTRE","SK",653
"SOUTH RIVER","NL",653
"WESTMEATH","ON",652
"COURTLAND","ON",652
"SAINT-DOMINIQUE-DU-ROSAIRE","QC",651
"OPASKWAYAK","MB",650
"SAINT-JULIEN","QC",650
"CAPE ST. GEORGE","NL",650
"SAINT-GODEFROI","QC",650
"DONNELLY","AB",650
"HILLSBOROUGH","NB",650
"MARICOURT","QC",650
"MACPHERSON-GRIZZLY VALLEY","YT",650
"SPRINGBROOK","AB",648
"TRURO HEIGHTS","NS",647
"RIVERS","MB",647
"WIARTON","ON",646
"KINNEAR'S MILLS","QC",645
"BRIGHT","ON",644
"EBB AND FLOW 52","MB",644
"SAINT-ADELPHE-DE-CHAMPLAIN","QC",644
"STANDARD","AB",644
"REYNOLDS","MB",644
"SHALLOW LAKE","ON",643
"CAWSTON","BC",643
"CRAIK","SK",643
"DEROCHE","BC",640
"SAINT-MARCEL","QC",640
"LOWER COVERDALE","NB",639
"RICHIBOUCTOU-VILLAGE","NB",639
"HEBERTVILLE-STATION","QC",638
"DONALDA","AB",638
"ARISS","ON",638
"ST PIERRE JOLYS","MB",636
"ABERDEEN NO. 373","SK",636
"MALIOTENAM","QC",636
"WHITES LAKE","NS",636
"RAPIDE-DANSEUR","QC",636
"SAINT-SIMON-DE-BAGOT","QC",635
"SAINT-STANISLAS-DE-CHAMPLAIN","QC",635
"STONY MOUNTAIN","MB",634
"EDGERTON","AB",634
"KAMINISTIQUIA","ON",633
"DELORAINE","MB",633
"RIDGEVILLE","ON",632
"OHSWEKEN","ON",632
"STE-MARGUERITE-DE-DORCHESTER","QC",631
"RIVIERE-AU-TONNERRE","QC",631
"AKWESASNE","ON",631
"SAINT-PROSPER-DE-CHAMPLAIN","QC",630
"SAINT-ADRIEN-D'IRLANDE","QC",630
"PIERCELAND","SK",630
"CLYDE","AB",629
"WABASCA","AB",629
"OLDCASTLE","ON",629
"ATHOLVILLE","NB",629
"SPRINGSIDE","SK",628
"ESPRIT-SAINT","QC",627
"WINDSOR JUNCTION","NS",627
"LAKESIDE","NS",627
"ROGERSVILLE","NB",624
"ROSEMARY","AB",624
"CAMPBELLCROFT","ON",624
"THOMPSON-NICOLA N (BEAUTIFUL NICOLA VALLEY - SOUTH)","BC",624
"MILLER LAKE","ON",623
"SAINTE-CECILE-DE-LEVRARD","QC",623
"HEAD OF JEDDORE","NS",623
"OAKWOOD","ON",623
"COX'S COVE","NL",622
"ELBOW","SK",622
"HAVRE BOUCHER","NS",622
"SALTCOATS","SK",622
"CANSO","NS",620
"NAMPA","AB",620
"ELGINBURG","ON",620
"TAMWORTH","ON",620
"SAINT-PAUL-DE-LA-CROIX","QC",619
"NORMAN WELLS","NT",618
"NORTON","NB",618
"RANKIN LOCATION 15D","ON",618
"BONNE-ESPERANCE","QC",618
"NORTH RIVER","NS",617
"CAISTOR CENTRE","ON",617
"MOSER RIVER","NS",617
"OXFORD STATION","ON",616
"KEBAOWEK","QC",616
"AVONLEA","SK",616
"MIDALE","SK",616
"SAINT-EDOUARD-DE-NAPIERVILLE","QC",616
"CHAPEL ISLAND 5","NS",616
"LONG PLAIN 6","MB",616
"COLPITTS SETTLEMENT","NB",615
"MULHURST BAY","AB",615
"YELLOW GRASS","SK",614
"ROCKGLEN","SK",614
"RODDICKTON-BIDE ARM","NL",614
"BIRCH HILLS COUNTY","AB",614
"SANDY BAY 5","MB",614
"TORRANCE","ON",613
"SAWYERVILLE","QC",611
"DORION","ON",611
"BELLE EWART","ON",611
"PORT CLEMENTS","BC",611
"SAINT-NAZAIRE-DE-DORCHESTER","QC",611
"OAKLAND-WAWANESA","MB",610
"SACRE-COEUR-DE-JESUS","QC",610
"UASHAT","QC",610
"STEADY BROOK","NL",609
"ALDER FLATS","AB",609
"NOKOMIS","SK",609
"ALBANY","PE",609
"SEAGRAVE","ON",609
"PEACE NO. 135","AB",608
"LOUISDALE","NS",608
"GLEN WILLIAMS","ON",607
"COLONSAY","SK",607
"CONMEE","ON",606
"AFTON STATION","NS",606
"ROULEAU","SK",606
"BAULINE","NL",605
"SHEENBORO","QC",605
"LYN","ON",605
"VIENNA","ON",605
"HUBBARDS","NS",605
"DIVISION NO.  8, SUBD. H","NL",604
"SEBRIGHT","ON",604
"MELBOURNE","ON",604
"HYTHE","AB",604
"SPECIAL AREA NO. 4","AB",604
"VAL RITA-HARTY","ON",604
"THE NORTH SHORE","ON",604
"GLENDON","AB",603
"HATCHET LAKE","NS",602
"GRAND-METIS","QC",600
"SAINT-JOSEPH-DE-KAMOURASKA","QC",600
"THREE MILE PLAINS","NS",599
"LONGVIEW","AB",598
"WILLOW GROVE","NB",598
"BAINSVILLE","ON",598
"SARNIA 45","ON",598
"SPRINGFIELD","NS",597
"HOLDEN","AB",596
"SQUAMISH-LILLOOET A","BC",596
"PLASTER ROCK","NB",596
"HAVRE-AUBERT","QC",595
"PUGWASH","NS",595
"HOPE TOWN","QC",595
"LOWER SOUTH RIVER","NS",595
"SAINT-JEAN-DE-LA-LANDE","QC",594
"JOCELYN","ON",594
"APPLE HILL","ON",594
"NEWTONVILLE","ON",592
"SAINT-VALENTIN","QC",592
"CHAPPLE","ON",592
"WENTWORTH","NS",591
"DOVER","NL",591
"STE ROSE DU LAC","MB",591
"SILVERTON","BC",591
"ST-BARNABE-NORD","QC",591
"BARNSTON-OUEST","QC",590
"NICTAUX","NS",590
"CLARKES BEACH","NL",590
"SAINT-EUGENE-DE-GRANTHAM","QC",588
"CLOYNE","ON",588
"TANGIER","NS",588
"NAUGHTON","ON",588
"SAINTE-LUCIE-DE-BEAUREGARD","QC",588
"EAST RIVER, PART 2","PE",588
